Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/10/2023,19/05/2023,1.5 Degrees,,Below 2 Degrees,National Pledges,Cement_01/04/2022,2030,2021,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.547,0.528,0.506,0.512,0.493,0.488,0.479222222,0.470444444,0.461666667,0.452888889,0.444111111,0.435333333,0.426555556,0.417777778,0.409,,,,,,,,,,,,,,,,,,,,
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/04/2022,01/04/2022,1.5 Degrees,,Below 2 Degrees,National Pledges,Cement_01/04/2022,2030,2020,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"ACC has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,0.547,0.528,0.506,0.512,0.493,0.484,0.474,0.465,0.456,0.447,0.437,0.428,0.419,0.409,0.4,,,,,,,,,,,,,,,,,,,,
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/02/2021,23/12/2020,2 Degrees,,2 Degrees,Paris Pledges,Cement_01/02/2021,2030,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),ACC has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,,,,0.547,0.528,0.506,0.497,0.489,0.48,0.471,0.463,0.454,0.445,0.437,0.428,0.419,0.41,0.402,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/10/2023,19/05/2023,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,Cement_01/04/2022,2024;2030;2050,2022,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has set targets to reduce its absolute emissions (and its emission intensity). To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s cementitious production grows according to the global growth rate projected in the IEA’s World Energy Outlook National Pledges scenario When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.837120229,0.669486641,0.698822519,0.596,0.603,0.587,0.589,0.557,0.568,0.537,0.528660738,0.520321475,0.507867896,0.495414317,0.482960738,0.470507158,0.458053579,0.4456,0.42332,0.40104,0.37876,0.35648,0.3342,0.31192,0.28964,0.26736,0.24508,0.2228,0.20052,0.17824,0.15596,0.13368,0.1114,0.08912,0.06684,0.04456,0.02228,0.0
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/04/2022,01/04/2022,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,Cement_01/04/2022,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has not disclosed sufficient data on current emissions or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/02/2021,23/12/2020,No or unsuitable disclosure,,No or unsuitable disclosure,No or unsuitable disclosure,Cement_01/02/2021,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has not disclosed sufficient data on current emissions or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,03/02/2020,20/12/2019,,,,No or unsuitable disclosure,Cement_01/02/2020,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2018,18/09/2018,,,,Not Aligned,Cement_01/09/2018,,2017,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",0.948,0.831,0.737,0.781,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2017,14/09/2017,,,,No or unsuitable disclosure,Cement_01/11/2017,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2023,04/07/2023,National Pledges,,Below 2 Degrees,1.5 Degrees,Electricity Utilities_01/11/2021,2030;2040,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company’s Carbon Performance.  When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.654,0.777,0.697,0.681,0.66,0.6,0.61,0.57,0.56,0.515861111,0.471722222,0.427583333,0.383444444,0.339305556,0.295166667,0.251027778,0.206888889,0.16275,0.146475,0.1302,0.113925,0.09765,0.081375,0.0651,0.048825,0.03255,0.016275,0.0,,,,,,,,,,
