Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Region,Carbon Performance Regional Alignment 2025,Carbon Performance Regional Alignment 2027,Carbon Performance Regional Alignment 2035,Carbon Performance Regional Alignment 2050,Regional Benchmark ID,Years with targets,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2023,04/07/2023,OECD,Not Aligned,,1.5 Degrees,1.5 Degrees,OECD_Electricity Utilities_01/04/2022,2023;2034;2035,2021,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate the company’s targeted absolute emissions reduction on an intensity basis, TPI assumes that the company’s electricity generation grows according to the regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS). TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",0.97,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.938,0.883947889,0.829895779,0.795085233,0.760274688,0.725464143,0.690653597,0.655843052,0.621032507,0.586221961,0.551411416,0.516600871,0.481790325,0.44697978,0.0,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2022,22/07/2022,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2024;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"TPI has not made any further assumptions in order to project this company's Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions.",,0.97,0.96,0.98,0.97,0.95,0.93,0.95,0.92,0.9,0.87,0.85,0.81,0.78,0.75,0.72,0.68,0.65,0.62,0.59,0.55,0.52,0.49,0.46,0.42,0.39,0.36,0.33,0.29,0.26,0.23,0.2,0.16,0.13,0.1,0.07,0.03,0.0
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2021,05/08/2021,OECD,Not Aligned,,Not Aligned,National Pledges,OECD_Electricity Utilities_01/04/2022,2024;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.97,0.97,0.96,0.98,0.97,0.95,0.94,0.921048,0.902096,0.883144,0.864192,0.84524,0.812730769,0.780221538,0.747712308,0.715203077,0.682693846,0.650184615,0.617675385,0.585166154,0.552656923,0.520147692,0.487638462,0.455129231,0.42262,0.390110769,0.357601538,0.325092308,0.292583077,0.260073846,0.227564615,0.195055385,0.162546154,0.130036923,0.097527692,0.065018462,0.032509231,0.0
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2021,05/08/2021,North-America,National Pledges,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,2023,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).

The company's target applies to Scope 1 and 2 emissions, which normally would not be accepted in TPI's electricity methodology because targets must be stated explicitly as referring to Scope 1 emissions from electricity generation. However, Algonquin Power & Utilities has made explicit that it will meet its target by closing a coal facility. We therefore assume that effectively their target will be applied to the emissions from electricity generation.",,,,0.0789,0.3433,0.2953,0.2947,0.279065796,0.263431592,0.247797388,0.232163184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.841305441,0.83919691,0.741389841,0.623133379,0.56,0.550486276,0.540972553,0.531458829,0.521945106,0.512431382,0.502917659,0.493403935,0.483890211,0.474376488,0.464862764,0.441619626,0.418376488,0.39513335,0.371890211,0.348647073,0.325403935,0.302160797,0.278917659,0.25567452,0.232431382,0.209188244,0.185945106,0.162701967,0.139458829,0.116215691,0.092972553,0.069729415,0.046486276,0.023243138,0.0
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2040;2050,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.649151835,0.635303669,0.621455504,0.607607339,0.593759173,0.579911008,0.566062843,0.552214678,0.538366512,0.524518347,0.510670182,0.474189578,0.437708975,0.401228372,0.364747769,0.328267165,0.291786562,0.255305959,0.218825356,0.182344752,0.145864149,0.131277734,0.116691319,0.102104904,0.08751849,0.072932075,0.05834566,0.043759245,0.02917283,0.014586415,0.0
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,National Pledges,North-America_Electricity Utilities_01/04/2022,2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.813070815,0.767435116,0.72816412,0.823146927,0.734066177,0.72426377,0.689130605,0.644407332,0.622438669,0.600470006,0.578501344,0.556532681,0.534564018,0.512595356,0.490626693,0.46865803,0.446689367,0.424720705,0.403484669,0.382248634,0.361012599,0.339776564,0.318540529,0.297304493,0.276068458,0.254832423,0.233596388,0.212360352,0.191124317,0.169888282,0.148652247,0.127416211,0.106180176,0.084944141,0.063708106,0.04247207,0.021236035,0.0
Berkshire Hathaway (Electricity Utility),United States of America,USA,Electricity Utilities,No,large,US0846701086;US0846707026,2093666;2073390,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,"",2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has not disclosed any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance. Please note that this company operates in more than one sector assessed by TPI: we conduct a sector-specific assessment for each of the sectors in which a company operates. In this assessment, we evaluate only the emissions and production data from electricity generation and compare the company's electricity-specific pathway to TPI's electricity-specific benchmarks. Other activities undertaken by this company are assessed separately, considering only the emissions and production data from those separate activities. Targets adopted by the company that are specific to a particular activity are incorporated into TPI's appropriate sector-specific assessment. We take a case-by-case approach to the interpretation of company-wide targets to evaluate whether targets can reasonably be assumed to apply in proportion to the emissions of the activity under consideration. Investors may want to consider all sector-specific assessments of a given company to understand its overall Carbon Performance. Note that TPI does not necessarily assess every business segment of a given company.",,,,,0.58,0.572,0.54,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills,United States of America,USA,Electricity Utilities,No,small,US0921131092,2101741,01/11/2021,05/08/2021,North-America,Not Aligned,,Not Aligned,Not Aligned,North-America_Electricity Utilities_01/04/2022,2030;2040,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,,,0.87,0.85,0.841454545,0.832909091,0.824363636,0.815818182,0.807272727,0.798727273,0.790181818,0.781636364,0.773090909,0.764545455,0.756,0.7182,0.6804,0.6426,0.6048,0.567,0.5292,0.4914,0.4536,0.4158,0.378,,,,,,,,,,
CEZ,Czechia,CZE,Electricity Utilities,Yes,large,CZ0005112300,5624030,01/11/2021,05/08/2021,Europe,Not Aligned,,Not Aligned,National Pledges,Europe_Electricity Utilities_01/04/2022,2025;2030;2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses an emissions intensity using an activity measure and emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI notes that this company’s emissions intensity is slightly over-estimated as we calculated it using emissions from both electricity and heat generation, while using generation figures that include only electricity.",,0.445834929,0.470771436,0.496665391,0.443119202,0.424885593,0.403363029,0.368502937,0.34680235,0.325101762,0.303401175,0.281700587,0.26,0.24,0.22,0.2,0.18,0.16,0.152,0.144,0.136,0.128,0.12,0.112,0.104,0.096,0.088,0.08,0.072,0.064,0.056,0.048,0.04,0.032,0.024,0.016,0.008,0.0
